# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888.0
# STATE: CA
Station_ID,Date_Time,precip_accum_fifteen_minute_set_1
,,Inches
LBNL1,09/08/2023 20:00 PDT,0.0
LBNL1,09/08/2023 20:15 PDT,0.0
LBNL1,09/08/2023 20:30 PDT,0.0
LBNL1,09/08/2023 20:45 PDT,0.0
LBNL1,09/08/2023 21:00 PDT,0.0
LBNL1,09/08/2023 21:15 PDT,0.0
LBNL1,09/08/2023 21:30 PDT,0.0
LBNL1,09/08/2023 21:45 PDT,0.0
LBNL1,09/08/2023 22:00 PDT,0.0
LBNL1,09/08/2023 22:15 PDT,0.0
LBNL1,09/08/2023 22:30 PDT,0.0
LBNL1,09/08/2023 22:45 PDT,0.0
LBNL1,09/08/2023 23:00 PDT,0.0
LBNL1,09/08/2023 23:15 PDT,0.0
LBNL1,09/08/2023 23:30 PDT,0.0
LBNL1,09/08/2023 23:45 PDT,0.0
LBNL1,09/09/2023 00:00 PDT,0.0
LBNL1,09/09/2023 00:15 PDT,0.0
LBNL1,09/09/2023 00:30 PDT,0.0
LBNL1,09/09/2023 00:45 PDT,0.0
LBNL1,09/09/2023 01:00 PDT,0.0
LBNL1,09/09/2023 01:15 PDT,
LBNL1,09/09/2023 01:30 PDT,0.0
LBNL1,09/09/2023 01:45 PDT,0.0
LBNL1,09/09/2023 02:00 PDT,0.0
LBNL1,09/09/2023 02:15 PDT,0.0
LBNL1,09/09/2023 02:30 PDT,0.0
LBNL1,09/09/2023 02:45 PDT,0.0
LBNL1,09/09/2023 03:00 PDT,0.0
LBNL1,09/09/2023 03:15 PDT,0.0
LBNL1,09/09/2023 03:30 PDT,0.0
LBNL1,09/09/2023 03:45 PDT,0.0
LBNL1,09/09/2023 04:00 PDT,0.0
LBNL1,09/09/2023 04:15 PDT,0.0
LBNL1,09/09/2023 04:30 PDT,0.0
LBNL1,09/09/2023 04:45 PDT,0.0
LBNL1,09/09/2023 05:00 PDT,0.0
LBNL1,09/09/2023 05:15 PDT,0.0
LBNL1,09/09/2023 05:30 PDT,0.0
LBNL1,09/09/2023 05:45 PDT,0.0
LBNL1,09/09/2023 06:00 PDT,0.0
LBNL1,09/09/2023 06:15 PDT,0.0
LBNL1,09/09/2023 06:30 PDT,0.0
LBNL1,09/09/2023 06:45 PDT,0.0
LBNL1,09/09/2023 07:00 PDT,0.0
LBNL1,09/09/2023 07:15 PDT,0.0
LBNL1,09/09/2023 07:30 PDT,0.0
LBNL1,09/09/2023 07:45 PDT,0.0
